,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TOTAL_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE,Label,cluster
157,-1.0316819808891908,-1.8335577535660104,0.005861193502197071,0.4613781401582109,-0.5720373998742311,-0.6430506933173563,-0.572037399874231,0.23243037689830381,2,cluster_2
158,-0.3688556157162327,-0.6016922127814978,-0.7751623917120449,0.6799599761839685,0.22787665383616856,-0.02206944899196918,0.22787665383616929,-0.1256897025647932,2,cluster_2
159,-1.0165557371783456,-1.3954800586061773,-0.35166420383303776,0.5589256044501577,-0.69456675113224,-0.6951724289925785,-0.6945667511322394,-1.6357287242459895,2,cluster_2
160,-1.0903962544732246,-0.8404602184857235,-0.33032211730058636,0.7820507611406213,0.2009159570927963,-0.05560079978826104,0.2009159570927947,-0.06354043809627326,2,cluster_2
161,-0.5045257350476045,-1.6291061324379585,0.018331175945399087,0.36518208723572043,0.019840653191999826,-0.264330631856135,0.019840653191999364,-0.4054499008984264,2,cluster_2
162,-0.6791263623868703,-1.8706374870757019,-1.6024813438980712,-0.4411514225123006,0.15472806382454204,-0.37975009500462786,0.15472806382454324,1.2238035732029597,2,cluster_2
163,-1.0903962544732246,-1.7022181329474584,-1.0214095570673525,-0.22357489482692924,-0.2244841144996049,-0.501475903590358,-0.22448411449960537,0.4589225270975321,2,cluster_2
164,-1.0903962544732246,-2.103129347824378,-1.026155104789755,-0.491479784466016,-0.8996520862335483,-0.8804178528636103,-0.8996520862335484,-0.2799236621322448,2,cluster_2
165,-0.8782618569026733,-0.2826179956460384,-0.39733242989991235,0.6067202480661,0.6562076576379295,0.36913279992980375,0.6562076576379297,-0.8679907505267062,2,cluster_2
166,-0.6097352417037991,-1.2892473584131001,-1.5159632831818137,-0.5584511157877323,-0.37009386154473306,-0.565724234775162,-0.37009386154473356,0.15672456656975847,2,cluster_2
167,-0.2857282984615495,-0.6037240139633762,-0.5119015909817515,-0.03682987717729123,0.6683406874955825,0.2755501271450414,0.6683406874955818,0.7782540956148497,2,cluster_2
168,-0.3778458193361398,-1.5188808461900678,-0.7470931913742068,-0.6034304400986462,0.5846466952200005,-0.051357670707706714,0.5846466952200001,-0.18435387432948477,2,cluster_2
169,-0.8032105333006808,-0.4390404886551011,-1.166640460450113,-0.2022202992515375,1.2002250533138383,0.5743224745275879,1.200225053313837,0.44369228453219206,2,cluster_2
170,-1.0903962544732246,-1.608355601894871,-0.942930400097559,-0.7301467933450609,-1.093500764639941,-0.9620845275446241,-1.0935007646399413,-0.47564020756873676,2,cluster_2
171,-0.6502201813668012,-0.49496354496262285,-0.17613643899504164,-0.16321055434115941,0.5441182485824559,0.22559448161432683,0.5441182485824541,-0.7099839528990919,2,cluster_2
172,0.0703931520442807,-1.5489411471289434,-1.5292661433449337,-0.8256482626607772,0.025614733259211445,-0.3811253391925678,0.025614733259210983,0.8433909296521322,2,cluster_2
173,-1.0903962544732246,-1.5222804391991318,-0.5460834470681117,-0.5328624182830166,-1.1004124943172857,-0.9444260290160511,-1.1004124943172862,-1.2221762552700624,2,cluster_2
174,-0.5634257252030902,-1.3944953106307798,-1.4970528178277853,-0.8302424394439665,0.04552323481192134,-0.33076093545033886,0.04552323481192181,1.0468530136518073,2,cluster_2
175,-1.0903962544732246,-1.5164518697652989,-1.5086765506987392,-1.0010239205593632,-0.2518122503758725,-0.5223407601159904,-0.2518122503758723,0.7748389165996163,2,cluster_2
176,-1.0903962544732246,-1.6479525982715637,-0.9513311783873156,-0.8953626820657737,0.8652529823541463,0.12145390235975971,0.8652529823541464,0.23217593458682065,2,cluster_2
177,0.012059915868738317,-1.3982668831352594,-1.54304116712765,-0.9593717050886673,0.3888200725357691,-0.1404021834987303,0.3888200725357685,0.574393976331529,2,cluster_2
178,-0.8685566114564525,-1.5261644128174172,-0.3866247928193667,-0.8144479920177973,0.5753214974351015,0.08539255048649823,0.5753214974351011,-1.7936285091293962,2,cluster_2
179,-0.36689220919818594,-1.0476604549511543,-1.3428587245141517,-0.9617859278367905,0.4034700930367585,-0.04338661972942449,0.4034700930367581,1.4707555597049355,2,cluster_2
180,-0.35061167072590976,-1.2463709649059,-1.418185665803856,-1.1029757354654677,1.3601682879118846,0.4394837655179468,1.3601682879118848,0.546459296967618,2,cluster_2
181,-0.5189294198680156,-1.7060924286196333,-1.12095711951172,-1.2209125749411258,0.8549490924662911,0.05930281371137015,0.8549490924662907,0.537400951181763,2,cluster_2
182,-0.5119735007636369,-1.7719900110541793,-0.48309963554964797,-1.1694585070280508,1.362695409375507,0.4166925326625011,1.3626954093755062,0.5008727092386206,2,cluster_2
183,0.16782280079036185,-1.3691362930789475,-0.5218930087430101,-1.1217033700149044,0.15501855300544495,-0.19751296434292281,0.15501855300544637,0.15466714470101858,2,cluster_2
184,3.1212978093413772,0.7447297750443338,0.9264889221593683,-1.0389702935445349,-0.4454992605064506,-0.22508791044507745,-0.44549926050645045,-1.2148341195555485,3,cluster_3
185,0.08254746697465656,0.9476789835335654,1.6260877975251429,-0.7423030942636001,-0.7025344328569197,-0.4143340000311336,-0.7025344328569199,0.0361344733744181,3,cluster_3
186,-0.7238300498330005,0.6104177733841424,1.068554762504495,0.5496142314616933,-0.618494619506694,-0.38385524381600333,-0.6184946195066944,0.2672986117602724,3,cluster_3
187,0.4864946527111448,0.24289099935766909,0.6970388241922155,-0.0907707693393532,-0.8775455111555547,-0.6839518075369367,-0.8775455111555548,0.8386736238825637,3,cluster_3
188,0.6580729080012557,1.0762578180514977,3.490098828116755,-0.40924841880297963,-0.068625816761261,0.42614413863369066,-0.06862581676126125,-0.25270071065779537,3,cluster_3
189,0.9308739584966405,0.8560976770490635,1.1144012147631912,-0.43624324153466726,-0.8473912104704702,-0.5872257702101362,-0.8473912104704705,0.4935371293441999,3,cluster_3
190,3.6051746478974573,3.153064223492503,3.188760314646778,-1.2227821733779543,-0.3170514480386309,0.47170217016911414,-0.3170514480386313,1.559310319876512,3,cluster_3
191,1.3733943444080254,1.4928528536400583,0.48103866880207247,-0.8724802410909029,0.2944131988142144,0.6501990447037601,0.2944131988142147,0.862031996036393,3,cluster_3
