,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TOTAL_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE,LABEL,TRACK_ID
0,0.0052145396466317,0.195425827116616,0.1881011366189193,120.70110303910856,0.0612894726416262,0.0148250640331253,0.0612894726416262,1.7724799633033046,Track_11,11
1,0.0138440525982881,0.2503964325929372,0.2170191988662813,98.0408483224974,0.0689035474679031,0.0204707946854021,0.0689035474679031,1.8027995003193449,Track_17,17
2,0.0,0.280064730699779,0.2158476925766929,119.86985064770832,0.039069170363258,0.0121641964061652,0.0390691703632581,1.946604814385401,Track_25,25
3,0.0264639341833392,0.3664292635115215,0.2952693673114511,40.14273456068854,0.3551140133954089,0.1397573292011048,0.3551140133954089,1.6136833540548288,Track_31,31
4,0.020816720677211,0.2766567167432926,0.2773196334885101,57.00350278115579,0.1060772785334437,0.035779742259755,0.1060772785334438,1.788806767081454,Track_34,34
5,0.0237265102516745,0.2658740906120629,0.2089305131423346,46.20853378872648,0.1050614750755812,0.0330254198702275,0.1050614750755813,1.8210859674485005,Track_37,37
6,0.0,0.1684138033044059,0.1776708309412339,43.88995061104449,0.1636800114256109,0.0355638990964616,0.1636800114256107,1.5943161325682291,Track_42,42
7,0.0,0.2629731742519811,0.1982315055909039,140.8509801209375,0.1106405244104238,0.0322646507335459,0.1106405244104237,1.890537710031112,Track_49,49
8,0.0081326109014918,0.3409584355892658,0.2621559667714881,49.36934429578868,0.1102461436519927,0.0421920916530093,0.1102461436519926,1.8645604921830812,Track_53,53
9,0.0062480636246102,0.1690938966017884,0.1687620781834885,110.341166027828,0.0280723375894179,0.0062074838932729,0.028072337589418,1.88930027718932,Track_57,57
10,0.0142917768875532,0.2995151395424335,0.1946455692065671,51.59828626089618,0.0861400765331545,0.0253981732999612,0.0861400765331545,1.6367600649131966,Track_75,75
11,0.0076847823799346,0.268973888486524,0.2165917442514728,94.0479261759782,0.0684095268142651,0.0199188053484879,0.0684095268142651,1.6453551100414314,Track_82,82
12,0.0035591757719078,0.2874068457237792,0.2256739877152905,57.153883016130585,0.0927758786740058,0.0294583428691825,0.0927758786740058,1.8100457066183864,Track_92,92
13,0.0071713608557527,0.2562762069688724,0.2014678881096055,58.27901983936876,0.0879311947834277,0.0253690289370434,0.0879311947834277,1.630241113146784,Track_93,93
14,0.0472631581498636,0.3076406106608694,0.2411896875553649,40.17405496967798,0.0541268738385875,0.0189086609124195,0.0541268738385876,1.7343716754253675,Track_104,104
15,0.0023628288402491,0.2622338401687741,0.2042401400727136,110.3888835101557,0.0583436016844786,0.0162638511361384,0.0583436016844786,1.92337707484049,Track_105,105
16,0.0131748460850788,0.2878659170739244,0.1775618182370854,37.03488033697722,0.1043917578691787,0.0299700485337343,0.1043917578691788,1.836439126187409,Track_112,112
17,0.0138427185979247,0.2480996751935048,0.1633403669800161,118.25297646320584,0.034137836112648,0.0093663590030945,0.0341378361126481,1.956048805481612,Track_117,117
18,0.0102945092966507,0.2827195210386117,0.2145979685220763,38.04752696039952,0.1079304955518123,0.0320819409324754,0.1079304955518124,1.887297675130243,Track_119,119
19,0.0024804768010163,0.2517889842764031,0.1672973037406204,72.17328595237728,0.0436947925998952,0.0119908622089051,0.0436947925998952,1.8947155144018344,Track_126,126
20,0.0079553751874218,0.3724417965105926,0.2358176976304253,51.38763492679437,0.1188505952174153,0.0459206841944718,0.1188505952174152,1.6260098905521274,Track_130,130
21,0.0258338966677691,0.2490079115358737,0.1626763930334411,43.08414170546447,0.0345688096953542,0.0091372238987967,0.0345688096953542,2.043494512921669,Track_140,140
22,0.0081680504852231,0.3304158271515146,0.2769118998275505,36.58237120355838,0.1034730498499918,0.037852895191767,0.1034730498499918,1.5379808995231556,Track_142,142
23,0.0132814570238592,0.3173827830506948,0.2970494789809538,62.5077265633444,0.0705579860318701,0.0290159164325027,0.07055798603187,1.7515163313117,Track_146,146
24,0.0078848268049755,0.1494758910407332,0.1650447116654138,50.49806831292157,0.0997090429938065,0.0206357133791691,0.0997090429938065,1.8860863571300963,Track_157,157
25,0.012768521930819,0.2737247097780511,0.2193261831486317,39.28609075832941,0.102380221397485,0.0319215767434877,0.102380221397485,1.7399155052674964,Track_160,160
26,0.016304015230264,0.2202422384542734,0.173192396672824,64.04658291548732,0.0648545192516625,0.01641782744939,0.0648545192516626,1.840620410707672,Track_163,163
27,0.0345003074394368,0.2701178823724005,0.2201800750568524,37.28732940055061,0.1290078848841578,0.0397550371813545,0.1290078848841578,1.9065195548718,Track_193,193
28,0.0131626428149129,0.3222991390770607,0.2704966275676111,47.39139850997597,0.0387937774868698,0.0148265432950611,0.0387937774868698,1.9140546475813272,Track_287,287
29,0.0177540983349388,0.2742637620856338,0.1976337571864735,63.85231702145254,0.0921372319114397,0.0285591055412055,0.0921372319114397,1.830985105891788,Track_362,362
30,0.038477960400805,0.3201311723498514,0.2222411616966218,47.77946045168572,0.1411752904482542,0.0485271885376086,0.1411752904482541,1.959048657733064,Track_395,395
31,0.0062661220328945,0.2345636920557641,0.1717420744998564,125.78627396478272,0.0673162652962748,0.0173513569443508,0.0673162652962748,1.9307873530766395,Track_470,470
32,0.0077607221348016,0.3018390981325337,0.2206015686913297,48.33925175525216,0.1133785101769198,0.0388697329579967,0.1133785101769198,1.8403112723807236,Track_580,580
