LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(µm),(µm),(µm),(µm),(µm/sec),(µm/sec),(µm/sec),(µm/sec),(µm/sec),(quality),(µm),(µm),,(µm/sec),,(rad/sec)
Track_3,3,3,132,0,0,0,0,0,131.0,0.0,131.0,5.6502609398856,28.47363567902875,30.532650620238005,0.0,0.4274044150434182,1.4757072547321488,0.02034535428302879,0.3769949198468545,0.293988809883499,0.8524955253709446,55.989978370687744,6.2765208712848795,0.10091557639971625,0.043131762899890076,0.10091557639971618,1.9370633028880944
Track_6,6,6,95,0,0,0,0,0,94.0,0.0,94.0,7.732064070204586,8.000005704033839,112.18866762759646,0.0,0.41264233973645953,1.4625336662109842,0.0516175594698255,0.3613275325901857,0.25976489981835976,0.8325003372995476,38.78837993522722,8.047867994540004,0.19933970130014125,0.08225600074685731,0.1993397013001414,1.8572434934760689
Track_7,7,7,132,0,0,0,0,0,131.0,0.0,131.0,9.48951950899302,102.9731052965396,140.54514345156093,0.0,0.3071656368731803,0.9273640630051119,0.005776954093943426,0.2853048180792153,0.1868133438699504,0.8634777023936763,40.2386984303866,9.48951950899302,0.23583067741144748,0.07243908022132076,0.2358306774114473,1.8491631680117253
Track_8,8,8,105,0,0,0,0,0,104.0,0.0,104.0,1.0340025164491153,47.24677539951125,160.68875949379165,0.0,0.43933386121326834,1.4614124213285458,0.0565191119198081,0.3505382743910872,0.2883922203783635,0.8212053667931329,45.69072156617988,1.7375738519981216,0.022630470279429347,0.009942331888933802,0.022630470279429337,2.12579632803851
Track_10,10,10,94,0,0,0,0,0,93.0,0.0,93.0,2.601695030512969,60.57585129363606,123.78350867836214,0.0,0.4283424503974155,1.3745741426000884,0.026977587879491245,0.40661585044198945,0.24406166119412315,0.8739187146754975,39.83584788695966,2.601695030512969,0.06531039675358934,0.02797521538185988,0.06531039675358938,2.0477789674021905
Track_11,11,11,131,0,0,0,0,0,130.0,0.0,130.0,2.929153865358246,19.920209665896692,27.568302971726148,0.0,0.277091688962616,1.0541201289860613,0.014771425610646493,0.25129578137853165,0.17446100137027865,0.8510524666946353,36.02191956514009,3.2437844536833356,0.08131587379904401,0.022531952810448046,0.08131587379904404,1.7456278381083288
Track_20,20,20,92,0,0,0,0,0,91.0,0.0,91.0,3.9044205784477395,52.56832787699405,102.52741661409279,0.0,0.3720842158361288,1.470722849077022,0.0025518028141894894,0.32858647940153896,0.293285911455858,0.8460495271112608,33.85966364108772,4.236369133625125,0.11531185365083893,0.04290572064228285,0.11531185365083894,1.693037194790891
