name,TRACK_MIN_SPEED,Clusters
Track_0,0.007950396950458728,0
Track_7,0.013747985195410343,0
Track_9,0.014549268679397978,0
Track_10,0.021877194715598874,0
Track_24,0.010568953285578303,0
Track_27,0.030832898561572505,0
Track_28,0.003406113854605893,0
Track_29,0.02597071089798158,0
Track_30,0.009066363836874421,0
Track_36,0.0023987243687153847,0
Track_38,0.0011427011644278987,0
Track_44,0.0060584315946308025,0
Track_49,0.006330567332431642,0
Track_50,0.006221338925009794,0
Track_51,0.008813301376652555,0
Track_52,0.008291982363042665,0
Track_53,0.005193652171227208,0
Track_57,0.04446539079564293,0
Track_63,0.002668761272453361,0
Track_66,0.02699463854434018,0
Track_72,0.006972572338510474,0
Track_74,0.0070274714544382175,0
Track_76,0.010722547092133224,0
Track_79,0.007121779293139761,0
Track_80,0.003859118245985045,0
Track_82,0.008944015259085138,0
Track_88,0.010835751021866704,0
Track_126,0.011218818020501932,0
Track_148,0.006396900011411147,0
Track_161,0.034730770896541314,0
Track_193,0.004771401446101393,0
Track_217,0.015171780768700065,0
Track_218,0.010485865741654683,0
Track_226,0.012469209240408128,0
Track_229,0.003598706451691274,0
Track_275,0.0028883928131296847,0
Track_290,0.012860254599428404,0
Track_301,0.002861182137180743,0
Track_357,0.0315134177599443,0
Track_359,0.01264103087343382,0
Track_487,0.01818150924221905,0
Track_498,0.012455199911705935,0
Track_505,0.010193931234802861,0
Track_538,0.011647143064082498,0
Track_576,0.010461323582799503,0
Track_625,0.008246145726106602,0
Track_731,0.013461705080036641,0
Track_755,0.010051326571096114,0
Track_872,0.024882712236001837,0
Track_880,0.021986210814669706,0
Track_889,0.007914929702725185,0
Track_906,0.03183106506122954,0
Track_907,0.004616568393094456,0
Track_957,0.010981591548109565,0
Track_965,0.02198213090281139,0
Track_981,0.015487863864180234,0
Track_1324,0.009139590860399867,0
Track_1327,0.007150244062528091,0
Track_1355,0.015214619064075913,0
Track_2,0.0070017459674939575,1
Track_15,0.00423968667543241,1
Track_33,0.0074173309869714045,1
Track_35,0.003646814263104351,1
Track_37,0.01734453847791865,1
Track_42,0.0080060458195235,1
Track_47,0.005733549583942895,1
Track_55,0.005734611341721879,1
Track_58,0.024927003367037424,1
Track_67,1.8022643900065954e-14,1
Track_71,0.008182880356555943,1
Track_73,0.005731374615183006,1
Track_75,0.004677478441047427,1
Track_78,0.009878103070557644,1
Track_85,0.019066764069759545,1
Track_261,0.018389653311822563,1
Track_761,0.023108198536049396,1
Track_984,0.027292233588534682,1
Track_1019,0.0005867312925776601,1
Track_1187,0.006319950499223297,1
