name,MEAN_STRAIGHT_LINE_SPEED,Clusters
Track_0,0.20487461937720153,0
Track_7,0.48561909754943805,0
Track_9,-0.07141476472107504,0
Track_10,-1.0523701608446079,0
Track_24,-0.09929083888814633,0
Track_27,-0.6363813005912836,0
Track_28,-0.4751713964598265,0
Track_29,0.0971126200554143,0
Track_30,-1.0614215012624768,0
Track_36,0.060910858536349415,0
Track_38,-0.9305307183615883,0
Track_44,0.014629657112042446,0
Track_49,-1.11065894863851,0
Track_50,-0.008342672620481108,0
Track_51,-0.0098608385647911,0
Track_52,0.1638376823517078,0
Track_53,-0.05630937616960478,0
Track_57,-0.6374304265186455,0
Track_63,0.07188823301166616,0
Track_66,-0.23951238290697388,0
Track_72,0.04859588652450358,0
Track_74,-0.07897647351652608,0
Track_76,-0.31656121517633085,0
Track_79,0.2519612924023699,0
Track_80,-0.8735934752631845,0
Track_82,-1.4456315334181153,0
Track_88,-0.5991256126698248,0
Track_126,-0.01859513347019275,0
Track_148,0.0,0
Track_161,-0.054504211115397015,0
Track_193,-1.1075369612132848,0
Track_217,-0.4175544970577421,0
Track_218,-0.15570726510854543,0
Track_226,-1.01816064387446,0
Track_229,0.44494382735582777,0
Track_275,-0.37014882582007125,0
Track_290,-0.867979701984474,0
Track_301,-0.604754653880293,0
Track_357,-0.7350553308007386,0
Track_359,-0.5191413952453479,0
Track_487,0.4327516049375369,0
Track_498,-0.5495523444467016,0
Track_505,0.04918344572083274,0
Track_538,0.18709001857862242,0
Track_576,0.40104477388403414,0
Track_625,-0.34231349958460333,0
Track_731,0.6497771083564357,0
Track_755,0.49518378546056796,0
Track_872,0.5105034228342571,0
Track_880,-0.24160654936606846,0
Track_889,0.17794163975918323,0
Track_906,-0.9479324954991345,0
Track_907,-0.9445543020235669,0
Track_957,-1.0433185132513871,0
Track_965,-0.43633266028631124,0
Track_981,-0.7114083566008548,0
Track_1324,-0.29710792848554757,0
Track_1327,0.22526092724726132,0
Track_1355,-0.31187402615489734,0
Track_2,0.7514917816915566,1
Track_15,1.2298108932812546,1
Track_33,1.0983944591013193,1
Track_35,1.0145203293907255,1
Track_37,1.006876045778471,1
Track_42,0.7394546123339315,1
Track_47,0.5192234209819354,1
Track_55,2.0771246979275855,1
Track_58,1.886271541676549,1
Track_67,1.2789835198645683,1
Track_71,0.9132043764278112,1
Track_73,0.4552917107180772,1
Track_75,0.6252051630659922,1
Track_78,0.4452030804348397,1
Track_85,0.5240324112379515,1
Track_261,2.5323098060733527,1
Track_761,0.9756389906322771,1
Track_984,2.9571630365670662,1
Track_1019,1.0858689926835776,1
Track_1187,2.7279817740298125,1
