name,CONFINEMENT_RATIO,Clusters
Track_0,0.5322774517887426,0
Track_7,-0.25014353189228467,0
Track_9,0.0638435467016458,0
Track_10,-0.7588250851520205,0
Track_24,-0.12494811053198869,0
Track_27,-0.6045310422239063,0
Track_28,-0.4752438043958619,0
Track_29,-0.04241374953355873,0
Track_30,-0.7481108550918141,0
Track_36,0.060723809249259166,0
Track_38,-0.7448689892782455,0
Track_44,0.006952208054464004,0
Track_49,-0.6632385716399588,0
Track_50,0.0,0
Track_51,-0.21653513546262773,0
Track_52,0.6011256625561223,0
Track_53,0.5560950936729374,0
Track_57,-0.6905898162530335,0
Track_63,0.25430941418595016,0
Track_66,-0.262378994631461,0
Track_72,0.07897652364320182,0
Track_74,0.010222965110233235,0
Track_76,0.048293990666828525,0
Track_79,0.4833609757285139,0
Track_80,-0.5285039695778293,0
Track_82,-1.0742458144203673,0
Track_88,-0.3111667513570093,0
Track_126,-0.23991683333049077,0
Track_148,0.3493007768585238,0
Track_161,-0.10737269807333794,0
Track_193,-0.8071436223677624,0
Track_217,-0.327319604658737,0
Track_218,-0.10815462990686155,0
Track_226,-0.720051484177181,0
Track_229,0.19172229887740067,0
Track_275,-0.1947090866703745,0
Track_290,-0.779916544614944,0
Track_301,-0.4363836501424576,0
Track_357,-0.8186868849953673,0
Track_359,-0.566788368302038,0
Track_487,-0.024982579036610032,0
Track_498,-0.49711696859739196,0
Track_505,0.3641661581281737,0
Track_538,-0.38035893811324284,0
Track_576,0.05606082004256125,0
Track_625,0.03927718307196214,0
Track_731,0.04792272791782291,0
Track_755,0.12288113801439979,0
Track_872,0.1187822490198762,0
Track_880,-0.623356662162881,0
Track_889,-0.12867687888013588,0
Track_906,-0.865692059293606,0
Track_907,-0.6527490840462973,0
Track_957,-0.7600289906467563,0
Track_965,-0.3793895099844395,0
Track_981,-0.7249780029885895,0
Track_1324,-0.0924863461011034,0
Track_1327,0.28265355593429164,0
Track_1355,-0.3447513311528961,0
Track_2,0.7444529268995209,1
Track_15,1.2082336071367281,1
Track_33,1.3899529809893516,1
Track_35,1.6071570661590704,1
Track_37,0.641695198731323,1
Track_42,1.731383807962959,1
Track_47,0.763452272490833,1
Track_55,1.7128338808125056,1
Track_58,1.5278417803384587,1
Track_67,1.1344671240957815,1
Track_71,1.1367076382118977,1
Track_73,0.45302574093287107,1
Track_75,0.7092672023017493,1
Track_78,0.7787059326769626,1
Track_85,0.778276614571761,1
Track_261,0.6331355536228052,1
Track_761,-0.08490122336873489,1
Track_984,0.7833888056396003,1
Track_1019,0.6976963394670878,1
Track_1187,1.4964021030718189,1
