name,Tracks_min_speed,Clusters
Track_0,-0.13135453201996455,0
Track_7,0.5090284067018567,0
Track_9,0.5975356015125654,0
Track_10,1.4069547274542882,0
Track_24,0.15788277326008415,0
Track_27,2.396172951463716,0
Track_28,-0.6333014175792936,0
Track_29,1.859111350489041,0
Track_30,-0.00808842134664567,0
Track_36,-0.7445744180329517,0
Track_38,-0.8833106988243855,0
Track_44,-0.3403349361699899,0
Track_49,-0.310275698407471,0
Track_50,-0.3223407167544224,0
Track_51,-0.03604088625328654,0
Track_52,-0.09362410669603159,0
Track_53,-0.43585568809350944,0
Track_57,3.9019741691613508,0
Track_63,-0.7147470107271098,0
Track_66,1.9722111029217944,0
Track_72,-0.2393618916481188,0
Track_74,-0.23329791199057046,0
Track_76,0.17484825080961353,0
Track_79,-0.2228809716447445,0
Track_80,-0.5832640104461152,0
Track_82,-0.02160265148440097,0
Track_88,0.18735239255430122,0
Track_126,0.22966474037172138,0
Track_148,-0.30294880417193326,0
Track_161,2.8267193847679906,0
Track_193,-0.4824961442294049,0
Track_217,0.6662962834190438,0
Track_218,0.1487051905651906,0
Track_226,0.3677789302927032,0
Track_229,-0.6120282591398962,0
Track_275,-0.6904872175999395,0
Track_290,0.4109725421211687,0
Track_301,-0.6934928212909651,0
Track_357,2.4713409119496252,0
Track_359,0.38675779489089207,0
Track_487,0.9987412041677436,0
Track_498,0.36623150493339784,0
Track_505,0.11645904449317114,0
Track_538,0.27697614617421235,0
Track_576,0.14599434268392872,0
Track_625,-0.09868707409203879,0
Track_731,0.4774068265147802,0
Track_755,0.1007073922954591,0
Track_872,1.7389345198750021,0
Track_880,1.4189962949029218,0
Track_889,-0.13527213005769487,0
Track_906,2.5064272105411325,0
Track_907,-0.49959850495465635,0
Track_957,0.20346146771523754,0
Track_965,1.418545640969738,0
Track_981,0.7012098048707955,0
Track_1324,0.0,0
Track_1327,-0.2197368448284225,0
Track_1355,0.6710280636565439,0
Track_2,-0.2361394664824505,1
Track_15,-0.5412276465417468,1
Track_33,-0.19023528274039792,1
Track_35,-0.6067144251201284,1
Track_37,0.9062921072290899,1
Track_42,-0.12520773704110585,1
Track_47,-0.3762203574783077,1
Track_55,-0.37610307913117325,1
Track_58,1.7438267756617092,1
Track_67,-1.009529791803793,1
Track_71,-0.1056751632010373,1
Track_73,-0.37646059752765604,1
Track_75,-0.4928705770882341,1
Track_78,0.08157368192520842,1
Track_85,1.0965236033356907,1
Track_261,1.0217321282105627,1
Track_761,1.5429274476284458,1
Track_984,2.005082493730952,1
Track_1019,-0.9447213415492054,1
Track_1187,-0.3114483996338303,1
