name,Total_distance_traveled,Clusters
Track_0,-0.26689813270072826,0
Track_7,-0.5441920967754048,0
Track_9,-0.30405330264839064,0
Track_10,-0.09122097174773003,0
Track_24,1.2097087514452673,0
Track_27,-0.10894913806388799,0
Track_28,0.3564416965866895,0
Track_29,-0.3377143793696334,0
Track_30,-0.4914735162042603,0
Track_36,0.22102539130145413,0
Track_38,1.3598144400475474,0
Track_44,0.24473728912077333,0
Track_49,-0.5270348113788696,0
Track_50,0.0,0
Track_51,0.7813434061563305,0
Track_52,0.06449435949995604,0
Track_53,0.9604420624142509,0
Track_57,-0.4948958598585595,0
Track_63,-0.08117034480381904,0
Track_66,-0.0830342002511849,0
Track_72,0.5147668558782659,0
Track_74,-0.4295532818104677,0
Track_76,-0.4169625791234449,0
Track_79,0.6829617900266001,0
Track_80,1.4913562987763225,0
Track_82,0.35108543492109706,0
Track_88,1.0908535960399133,0
Track_126,0.11285073122190332,0
Track_148,0.24110872624076554,0
Track_161,-0.4931683251105002,0
Track_193,0.2559451951107878,0
Track_217,1.7823988902665469,0
Track_218,1.4628264987319286,0
Track_226,-0.496530409652911,0
Track_229,0.2934379145654801,0
Track_275,0.2970329228614382,0
Track_290,2.527096596249595,0
Track_301,1.6027133782846097,0
Track_357,-0.16842213594701602,0
Track_359,0.8362753830509138,0
Track_487,-0.18161003833132294,0
Track_498,-0.3472431765533176,0
Track_505,0.2459820524370509,0
Track_538,-0.46256970962347926,0
Track_576,0.6473309592884016,0
Track_625,0.5349597869204168,0
Track_731,-0.37676858070069136,0
Track_755,1.30313572171112,0
Track_872,-0.24309496109360476,0
Track_880,-0.11283591257168289,0
Track_889,-0.5524884543951293,0
Track_906,-0.23685926165222634,0
Track_907,0.07737354316751066,0
Track_957,0.39116646250000553,0
Track_965,-0.5229486639957909,0
Track_981,-0.32311824997423183,0
Track_1324,-0.46379509310987566,0
Track_1327,-0.42854387268896316,0
Track_1355,-0.38431161141828646,0
Track_2,0.7161422745976843,1
Track_15,-0.408392976687153,1
Track_33,0.6685851941209614,1
Track_35,0.6677114847886475,1
Track_37,0.2880762737902016,1
Track_42,-0.31221622866256266,1
Track_47,1.4765847150614204,1
Track_55,-0.09577684458112176,1
Track_58,-0.025942319177761713,1
Track_67,1.045030624117644,1
Track_71,0.8197801355156444,1
Track_73,1.899910478101887,1
Track_75,0.2827796270929302,1
Track_78,-0.11092058182799774,1
Track_85,-0.5252426367746739,1
Track_261,0.1374359152094109,1
Track_761,-0.4864441588488555,1
Track_984,-0.41085810332507755,1
Track_1019,-0.13825541392716706,1
Track_1187,-0.2935438719801315,1
