,Euclidean_distance,DTW_distance
Track_2168,69.82639823902454,86.34301330471595
Track_20,246.68884260487818,261.86179849890084
Track_1088,159.87438770936168,167.15220845550158
Track_4487,74.07290714262338,76.98848091137326
Track_210,197.45222329256845,120.94783733645504
Track_3745,42.358485068559055,36.36088889696494
Track_4243,73.81946910726712,43.394358460570885
Track_2812,551.9910971792838,435.23655279392506
Track_4396,49.06052081754119,52.55806044958825
Track_3057,62.09893538873835,47.50462547089643
Track_2653,54.12975407292356,67.86835452494694
Track_140,58.301296969901585,64.21049319897845
Track_938,281.24383698852284,444.9168458120385
Track_5253,39.0546669693228,45.87183304621581
Track_657,85.89070251337277,97.32358810305482
Track_4872,74.585617561146,51.045739736376504
Track_3224,162.19785894734358,203.65533876261588
Track_1066,173.3248853078403,183.1282721455724
Track_630,125.66953600710819,128.4741647401174
Track_47,393.2457395020112,530.3478314241385
Track_5009,38.681744295042755,36.44028282864429
Track_10,62.915704936425456,64.21816254726394
Track_781,167.9742984310531,143.04396585528667
Track_771,141.65907257423405,198.04706489151664
Track_5148,67.48422621474921,43.26768116519157
Track_902,217.830645135006,166.70404050367026
Track_11,113.0967393920252,122.42336646804426
Track_4076,58.49488147582027,60.91490410167299
Track_2220,477.13649927157826,210.30892769515623
Track_3863,44.082892820825215,34.807588484028216
Track_6,113.38755821763736,106.11526371356545
Track_28,180.96502207041743,132.59192951884987
Track_8,101.38102174208092,84.0910314414752
Track_2623,632.6973745500636,663.4170300284894
Track_2304,124.9680273896198,97.00229775199296
Track_712,189.28514655436268,209.94772218146912
Track_5241,38.31446087986536,44.831837671433235
Track_3222,64.0564540974044,79.4909448487091
Track_1221,49.937788787041114,47.49324473634013
Track_4397,84.92660702391626,90.48062118755786
Track_35,1441.8464487988167,1566.665928426896
Track_4795,45.03622421047183,49.77298699572693
Track_2453,138.15461208166758,230.71657036259455
Track_445,352.1000606750603,412.82481832516135
Track_2682,53.527596629665915,55.59368934215086
Track_106,106.27819403841934,105.44584438558064
Track_975,341.0529023278092,259.33017124818565
Track_3803,80.03060743407458,92.5385833788172
Track_1328,210.4716612839533,211.9032541600187
Track_2924,31.40253864195377,27.049245353544705
Track_1544,697.9293178461108,567.1306945042309
Track_109,135.11309333633992,84.40632351737818
Track_3942,278.54384477939266,279.0489838441592
Track_5436,46.90582611837493,36.60862079069481
Track_5305,35.42036507133111,34.35091032033217
Track_2060,1717.94837087033,631.7126418594603
Track_5117,44.45549693370505,33.00582316977758
Track_3965,35.91871010145099,41.77004066069327
Track_135,216.16042172646831,274.2827068246232
Track_4657,77.71201218965311,83.84999151930528
Track_155,127.3660816217816,88.43567417904859
Track_118,282.0516182417287,241.61469075297157
Track_72,205.69766883968586,278.5739377514324
Track_304,84.35477893353335,63.86474981204842
Track_1020,136.7268733614859,179.76989299536552
Track_730,145.83378505671965,171.63474889728414
Track_3679,221.02969872726501,216.18690816056667
Track_4655,55.13103908192513,57.75941519718702
Track_482,57.86132611690996,73.0238447171998
Track_557,317.96837794312484,280.39442172189763
Track_2248,254.06246909080735,255.19423198742854
Track_75,56.22216948409847,49.06769850406035
Track_897,276.3485446616325,250.33859375368155
Track_2377,33.26612017597885,35.964586780308224
Track_5048,124.95566581538756,86.98234988897401
Track_7,217.4894086499713,242.92718092083953
Track_60,167.7557353547205,194.6365761902668
Track_5229,53.992744214367995,36.6598068100356
Track_51,110.99362448525886,150.99785898501537
Track_5425,31.389329681606096,32.65915813655279
Track_4160,125.83109800719647,84.82479814566976
Track_90,423.68571638056085,233.32880002224144
Track_1962,512.5433333539322,511.01041549946206
Track_2043,125.35870851442529,105.37833334710068
Track_42,711.3970164435051,803.2065795104609
Track_4467,101.55344827429684,85.5726312047545
Track_43,140.45992590841936,122.18874131103054
Track_4095,208.4082891292885,195.35214346448183
Track_158,204.23987140331988,173.8672463547088
Track_907,159.46025846882856,152.30209874236215
Track_2751,58.31640613438237,67.855680819137
Track_734,119.63014958774055,83.46323356482581
Track_98,350.66063991884545,327.0213973596793
Track_4097,43.16481239607198,36.37917085143788
Track_4836,46.265139532849595,45.72911436441669
Track_2031,163.10765581691177,132.84931973308557
Track_5121,39.55174661716643,45.01375100620945
Track_4646,84.8711243891455,78.21653395349371
Track_4207,119.78282156841597,135.94727981979545
Track_4394,112.04111691367127,66.50803134955481
Track_3711,58.33626493924931,68.85625620219665
Track_446,151.65140432402222,117.500913767926
Track_4518,49.850868137941625,49.141980211580176
Track_2236,179.0540276401285,93.27191114711829
Track_4272,86.58607277017262,90.1227981509276
Track_53,543.3494619984443,554.9460666150003
Track_4935,62.371207722628206,69.66567101181192
Track_352,106.91721043844855,107.40913761765734
Track_476,109.68463137704832,121.5552221800279
Track_4492,85.13039981269918,69.66910432221887
Track_5170,24.93661746304277,29.137033096667313
Track_5295,34.439045479661836,29.001475928372443
Track_3417,222.50275994986526,232.2095292122052
Track_67,179.64962945805746,112.3584782703816
Track_2241,51.4018003530596,62.06183394907633
Track_423,164.0644165357938,162.43839015871708
Track_2375,62.06517088408489,62.82136516765637
Track_4654,61.607011900258385,71.8286428909631
Track_5469,38.360124363963735,38.53804940018997
Track_77,290.1242544987054,260.8993020317973
Track_1629,73.45007293813494,93.65642859592693
Track_3,297.65724555461986,233.5498745969634
Track_4742,36.131630390299215,39.674247658437075
Track_3866,107.18343560860251,106.11110039370611
