,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TOTAL_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
0,0.015648379884808,0.2983241594529022,0.2515611897465882,36.38094061814306,0.1463680962068733,0.0459052501421802,0.1463680962068732,1.6404801346604707
1,0.0060596686649308,0.3063667164904978,0.2079813684720942,38.36913779830641,0.0490915322267608,0.0138499982701366,0.0490915322267608,1.6938149810594707
2,0.0263471023685927,0.3139696019758109,0.2702920506229765,51.00229520871721,0.0476068023357346,0.0179856013827421,0.0476068023357345,1.814449898418356
3,0.0014591375582484,0.2026762277289073,0.1500878006313894,107.00999680238634,0.0332250020684364,0.0077123804015242,0.0332250020684364,1.924168110784209
4,0.0133201984383279,0.3505294631528618,0.2172664396134082,40.06551632309542,0.0800737433738778,0.0269596291781298,0.0800737433738778,1.9756477470188731
5,0.0058128502449237,0.1939341460007892,0.1828238784787595,70.79365295007722,0.1317153437822837,0.0313959943970475,0.1317153437822837,1.8805941633853152
6,0.0201694651922128,0.2511931253788114,0.1970883937096266,55.92140683509186,0.0449922788207925,0.0133123361289705,0.0449922788207926,2.0163248550235044
7,0.0166285774304419,0.35713906504375,0.239550009710984,47.05618746334281,0.0576105338306601,0.021179156873428,0.0576105338306601,2.055558676726877
8,0.0101294851589378,0.301986919197965,0.2506633095328955,74.29880676159644,0.0722919593388655,0.0246385610886952,0.0722919593388655,1.861807965040423
9,0.0054206043991897,0.2127927382775672,0.1648183192075761,123.33827961917297,0.0585422568172741,0.0144699423664657,0.0585422568172741,1.8747840913211244
10,0.0099095999764518,0.218793802368686,0.1607503914595191,65.62491424973702,0.168830569541225,0.041809402448593,0.1688305695412251,1.7945489845662117
11,0.0197299544106413,0.3114270629842157,0.2218881722649409,67.11995938155783,0.0300425723048115,0.0100321205612759,0.0300425723048115,2.00850880294263
12,0.0127413762076029,0.2451071904070957,0.1671435821392988,137.3065458524555,0.0347962751513795,0.0095746620231814,0.0347962751513794,2.046648549473
13,0.0230670101728733,0.2487078589906623,0.1828947648555806,51.092483945226974,0.1268993195591007,0.035236964387139,0.1268993195591007,1.6902439609004791
14,0.0325255382167216,0.3074770724699241,0.2583622903316785,43.602625853718,0.1003136300957323,0.038034240705152,0.1003136300957323,1.7429548756596736
15,0.0336509267448695,0.3165328197542921,0.1871431294151793,49.2926202534596,0.0612257558622639,0.0206710817359561,0.0612257558622639,1.971080993110224
16,0.0033770826471788,0.1814541505898693,0.1760825829263074,119.4674202260615,0.0517096557610397,0.0123799983457898,0.0517096557610397,1.770957372098815
17,0.012259908056448,0.2069392653463624,0.1954478330197085,37.46562598415664,0.0359752672085025,0.0089260656020784,0.0359752672085025,2.009360654959544
18,0.0394050344228115,0.3118446443362363,0.2085702440702777,82.5046639260305,0.0562984932583148,0.0191147665260047,0.0562984932583148,2.007346405329528
19,0.0276174126742853,0.3398711161039014,0.2042769184946733,43.93863898675954,0.0528574759694692,0.0200214271928778,0.0528574759694692,1.9344835089040435
20,0.0504395539870869,0.3188251977647127,0.2597673615310178,42.2882125767908,0.0537031851763484,0.0197479279198972,0.0537031851763484,1.853639871239767
21,0.0,0.267064785773738,0.1973199097214216,53.87645178457276,0.1162753084954065,0.033321814105793,0.1162753084954066,1.7268571544497282
22,0.0082176731325432,0.2903473388110602,0.1892264399215551,69.05868950188032,0.0107209880738082,0.003261574390055,0.0107209880738082,2.066471712430348
23,0.0096922462761385,0.2968910890055034,0.1919317734337888,74.24091823055788,0.16321246691216,0.0520044781555077,0.1632124669121598,1.830479570116693
24,0.0774266432336718,0.3329630528261186,0.2678017157332652,37.46225703760685,0.0332522022037543,0.013252154744931,0.0332522022037543,1.9925218241978653
25,0.0094635017298686,0.2930039252121632,0.2117573979951419,94.5302220085522,0.0128515902316444,0.0040094510817171,0.0128515902316444,1.877527749730316
26,0.0070384733560387,0.1798893818407872,0.1561468944040623,102.94591584743004,0.0709551521379597,0.0157425498296034,0.0709551521379598,1.8788461962875904
27,0.0072144018787982,0.2992193530362793,0.1990128881200425,128.14877377575218,0.0156737377179174,0.0049472174114135,0.0156737377179174,2.0115222596026934
28,0.0071712023361425,0.2573686837988514,0.1545660187868062,135.58303025569668,0.0775994084932862,0.0210844948889166,0.0775994084932863,1.912899611757744
29,0.0144533151066805,0.2948699739384717,0.2076062885746382,137.5795273206975,0.0198083197527027,0.006397228330033,0.0198083197527027,1.8514348666360387
30,0.002489134749748,0.2948346989603813,0.1969746951583669,135.623423618128,0.0434640096738858,0.0136137131550665,0.0434640096738859,1.994415678137482
31,0.0160663305279224,0.2511325021722347,0.239095669598305,66.86736774968536,0.0690799958045289,0.0216863731624796,0.0690799958045289,1.910432730577748
32,0.0244577447073402,0.2661918272130857,0.1944363403096361,50.75100651309816,0.0758010341680758,0.022366155690486,0.0758010341680759,1.7172648293129582
33,0.0059484922450643,0.2220293773529724,0.1470479722664024,122.27996519912548,0.0350341903518271,0.0085851294128275,0.035034190351827,2.0517140004720598
34,0.0180241477344895,0.3079732478692863,0.2282538807966946,39.69243513801817,0.0606724435768203,0.0213118321357346,0.0606724435768203,1.9480021243468983
35,0.0210907382108426,0.2561871174804861,0.2312628114309408,73.57437079491,0.0433025326147138,0.0139734938199721,0.0433025326147139,1.7644505925531229
36,0.0085429039278954,0.2824480222921363,0.1902463337074353,58.21629636209055,0.0111576493976907,0.0033655804354417,0.0111576493976907,1.8946513039651125
37,0.05694951315108,0.3570794986776268,0.259095337964144,38.95179212121569,0.056058123146416,0.0234791866613409,0.056058123146416,2.010541492366543
38,0.0,0.1969828107737422,0.2129317008429742,123.00308477901132,0.0739629512219635,0.0182318059311845,0.0739629512219635,1.9624050583709969
39,0.0006352648694838592,0.2076908161912289,0.1742875585049683,122.3534043987059,0.0856546710853632,0.0210022857914741,0.0856546710853633,1.873660850422318
40,0.0090161495433846,0.3026922408387733,0.2051558059428799,44.17220146188077,0.0383205151145325,0.012177708732102,0.0383205151145325,1.9394634074858144
