,Label,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TOTAL_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
0,Track_5,-0.05239923304987581,-0.08615989506946377,0.6585675665285039,-0.5736257421472677,1.8493957105141172,2.008812117010828,1.8493957105141163,-2.235960585260447
1,Track_7,-0.5649909204054829,0.02244543082689622,-0.06704772013928158,-0.5045063206017528,-0.14266401513697546,-0.3180749117027668,-0.1426640151369756,-1.8728237876208695
2,Track_8,0.5195312469445778,0.12511350666711338,0.9704412407858501,-0.06531621349714228,-0.17306877552703503,-0.017871959717170396,-0.1730687755270373,-1.0514662600206395
3,Track_9,-0.8109253268789831,-1.3777733393556868,-1.0309905862735265,1.8817843934608416,-0.4675837534686905,-0.763603883450774,-0.4675837534686909,-0.3044364479684943
4,Track_12,-0.17685875933609313,0.6188116699873627,0.0875511139288731,-0.4455319374140569,0.4917993387537728,0.6335516808069074,0.49179933875377324,0.04606892531138071
5,Track_15,-0.5781852973640482,-1.495824928005498,-0.48592643004439584,0.6227278157025952,1.5493320900419871,0.9555869193301364,1.5493320900419885,-0.6011149759345259
6,Track_16,0.18928817344925827,-0.7226093838976286,-0.2484185650343917,0.10569607518586295,-0.2266098010606743,-0.35710374439151815,-0.2266098010606725,0.32302396944024125
7,Track_18,0.0,0.7080666126690885,0.45857831485494904,-0.20250214627979726,0.03179074871914032,0.2139478642672717,0.031790748719140345,0.590152223001539
8,Track_20,-0.34742736508991834,-0.03669860882267837,0.6436176289289831,0.7445840411803717,0.33244154551354377,0.46506561644449684,0.33244154551354405,-0.7290230954358135
9,Track_24,-0.5991539088189662,-1.2411616970713766,-0.7857236451334848,2.4494350643239464,0.05087086176133783,-0.2730732413981938,0.05087086176133787,-0.6406735592228607
10,Track_26,-0.3591819496352685,-1.1601243456053871,-0.8534556934238663,0.443037273611555,2.309389224234665,1.7114950062971708,2.309389224234669,-1.1869640558201275
11,Track_27,0.16579288112366442,0.0907794914409117,0.16450415698337809,0.49501232705540027,-0.5327545397551652,-0.5952142133505743,-0.5327545397551656,0.26980742688943954
12,Track_30,-0.2078013393265315,-0.8047928173377028,-0.7470074163965067,2.935040059477853,-0.4354067346836674,-0.6284210757616203,-0.4354067346836699,0.5294865363821654
