name,MEAN_STRAIGHT_LINE_SPEED,Clusters
Track_4,1.7486034610290853,0
Track_15,0.44248316176086006,0
Track_26,1.1082331545452253,0
Track_31,0.764241645428983,0
Track_44,3.3724464160810244,0
Track_48,3.368756155128476,0
Track_78,0.9946392843319112,0
Track_108,0.7131725959655233,0
Track_121,1.800975079523788,0
Track_129,1.2149665361114796,0
Track_142,0.8718808025300591,0
Track_166,3.7559207846910985,0
Track_181,0.7322077305248555,0
Track_300,1.6786045992019254,0
Track_351,1.6064772397539937,0
Track_406,1.8616400366493924,0
Track_425,1.005590392387406,0
Track_563,0.9256064481065465,0
Track_584,3.2632246173785306,0
Track_731,1.3000134752206716,0
Track_786,1.7533307367188506,0
Track_925,1.4902620549849799,0
Track_926,1.5869942709136955,0
Track_958,1.0900976841267367,0
Track_1067,0.6771432385712576,0
Track_1236,0.7746426959595202,0
Track_1567,1.870089907024738,0
Track_1568,0.8931335603098458,0
Track_1674,1.255459176190817,0
Track_1680,1.7679105814965743,0
Track_1784,1.2746082645388348,0
Track_1838,1.7517233283494116,0
Track_1914,3.5451890545280964,0
Track_1984,1.8323241296328405,0
Track_2000,4.29801218328582,0
Track_2113,1.4075947253102656,0
Track_2307,1.9996958060385388,0
Track_2524,1.6496344295242467,0
Track_2561,0.9170391190402696,0
Track_2583,1.7710865483582297,0
Track_2647,0.9372534932388186,0
Track_2667,0.6888678510146843,0
Track_2797,1.8160480146836233,0
Track_0,0.16413593252348666,1
Track_1,0.11983835638940384,1
Track_6,-0.6350802422903321,1
Track_7,0.25561032218405627,1
Track_9,-0.2739172555882941,1
Track_11,-0.29149512212836187,1
Track_14,-0.14810731879427308,1
Track_20,0.28736664815463137,1
Track_22,-0.17747696905124372,1
Track_24,-0.19147280942933764,1
Track_29,-0.20483280923732183,1
Track_33,-0.8275559276531392,1
Track_35,-0.05650908227292263,1
Track_41,0.0,1
Track_43,-0.3280165351089377,1
Track_49,-0.6345957402648724,1
Track_56,0.6709083538125488,1
Track_64,0.23789872649359553,1
Track_67,0.5240978290799992,1
Track_73,-0.11377093436638383,1
Track_76,-0.006243328936419047,1
Track_77,-0.7921851496181187,1
Track_81,-0.28225299094621975,1
Track_86,0.22793880453468385,1
Track_92,-0.48563251886341624,1
Track_96,-0.2928374421412423,1
Track_98,-0.39719037619796443,1
Track_107,-1.059793537917118,1
Track_109,-0.03830024511020471,1
Track_112,0.44947628785783916,1
Track_119,-0.18300195382207712,1
Track_122,-0.2244766437448093,1
Track_124,-0.7445560934213711,1
Track_145,0.6176548251231505,1
Track_160,0.21783763627851147,1
Track_161,0.2852128662770175,1
Track_167,-0.2087996520080848,1
Track_190,-0.28108815515579827,1
Track_198,-0.5199283686402991,1
Track_272,-0.3773384384809933,1
Track_276,-0.29984058845811434,1
Track_284,0.8183179086445186,1
Track_299,0.5031789887770693,1
Track_306,0.3677981867571992,1
Track_359,0.718172676134983,1
Track_381,-0.10421139189788019,1
Track_449,-0.9412927398229153,1
Track_505,0.14006429289429692,1
Track_528,-0.014405021852818424,1
Track_571,0.3111085367509552,1
Track_622,-0.5423950677502047,1
Track_646,0.5815417919420495,1
Track_659,0.041089539367628776,1
Track_660,0.29496607041198114,1
Track_676,-0.4487056310379789,1
Track_684,0.8815495519197293,1
Track_713,-0.5402135699771577,1
Track_722,-0.28307924285676583,1
Track_768,0.21380621025496682,1
Track_772,0.18985884365146088,1
Track_805,-0.5576988545398578,1
Track_837,-0.43066833239285945,1
Track_865,-0.8892075496912353,1
