name,TRACK_MAX_SPEED,Clusters
Track_4,0.7925453145001342,0
Track_15,0.384493100603266,0
Track_26,0.4594219837017284,0
Track_31,0.8651891038518214,0
Track_44,0.7819245899220536,0
Track_48,0.5997559604946099,0
Track_78,0.5547283189882989,0
Track_108,0.8979621441882635,0
Track_121,0.8743188286422306,0
Track_129,0.5813947593240368,0
Track_142,0.9257966569470838,0
Track_166,0.6779154001323554,0
Track_181,0.40997445989863074,0
Track_300,0.9117684871390808,0
Track_351,0.6842679313915144,0
Track_406,0.9379203393143226,0
Track_425,0.8238856410945304,0
Track_563,0.43338519721550656,0
Track_584,0.7471492424925208,0
Track_731,0.4606200125507104,0
Track_786,0.9033761897568857,0
Track_925,0.5374722907241289,0
Track_926,0.9144938287624981,0
Track_958,0.5897912188453481,0
Track_1067,0.7769545796113158,0
Track_1236,0.6446279111187619,0
Track_1567,0.8100411391345169,0
Track_1568,0.9332513541264447,0
Track_1674,0.7729560559817127,0
Track_1680,0.5706183395829223,0
Track_1784,0.8205754825946815,0
Track_1838,0.8860666708519251,0
Track_1914,0.9316278313732433,0
Track_1984,0.5275030734283209,0
Track_2000,0.5341311448727875,0
Track_2113,0.6780462799961732,0
Track_2307,0.5773478730939584,0
Track_2524,0.7012835736433105,0
Track_2561,0.7823358980280526,0
Track_2583,0.8522731412615921,0
Track_2647,0.42091953587459885,0
Track_2667,0.3798739662337548,0
Track_2797,0.6544972379998187,0
Track_0,0.8888187149665775,1
Track_1,0.8957159085352393,1
Track_6,0.8262421200055418,1
Track_7,0.5666226387072986,1
Track_9,0.5632743758015548,1
Track_11,0.8601386056205901,1
Track_14,0.9133337961098426,1
Track_20,0.5872016138468835,1
Track_22,0.38309199375811587,1
Track_24,0.894601611871838,1
Track_29,0.5281785111812982,1
Track_33,0.9164119480819019,1
Track_35,0.7464283852973864,1
Track_41,0.6126648058343783,1
Track_43,0.3903931355488121,1
Track_49,0.4591536467012718,1
Track_56,0.79122533585556,1
Track_64,0.5555597031079544,1
Track_67,0.4546923407178357,1
Track_73,0.808327669580362,1
Track_76,0.5434074552863224,1
Track_77,0.7241450661869825,1
Track_81,0.5628278964615395,1
Track_86,0.6215104039614672,1
Track_92,0.5471875941193338,1
Track_96,0.8624923840207243,1
Track_98,0.6857855588789422,1
Track_107,0.6134704898526068,1
Track_109,0.8852856333694762,1
Track_112,0.8943342484010535,1
Track_119,0.932370304205461,1
Track_122,0.37930344719891734,1
Track_124,0.81493601981826,1
Track_145,0.9050796192770597,1
Track_160,0.6855303443987981,1
Track_161,0.41206437415271213,1
Track_167,0.8845120782296166,1
Track_190,0.9411505243920386,1
