name,Mean_change_rate,Clusters
Track_4,0.055933647804744094,0
Track_15,0.13966098139155783,0
Track_26,0.12158772159079506,0
Track_31,-0.3394920651698916,0
Track_44,-0.8038884724368885,0
Track_48,-0.8118689462229972,0
Track_78,-0.9586941264201019,0
Track_108,-0.5478718245825106,0
Track_121,-0.6137699838127488,0
Track_129,-1.2280445363809749,0
Track_142,-0.3179256917749365,0
Track_166,0.0,0
Track_181,-0.3796385713548247,0
Track_300,-0.6989004521860956,0
Track_351,-1.0281196686706524,0
Track_406,-0.8561136486188146,0
Track_425,0.4518626727837144,0
Track_563,0.16345586434021708,0
Track_584,-1.6280998814706762,0
Track_731,-0.8857410548867235,0
Track_786,-0.5896190137455384,0
Track_925,-1.0984193375063467,0
Track_926,-1.8843904347043814,0
Track_958,-0.10705358784525552,0
Track_1067,0.5103200918469675,0
Track_1236,-0.07434335430401916,0
Track_1567,-0.11892652209189933,0
Track_1568,-0.8280484719079817,0
Track_1674,0.108764457735873,0
Track_1680,-0.40844351540622814,0
Track_1784,-0.6648465737936422,0
Track_1838,-0.6044483707913899,0
Track_1914,-1.3211959609337014,0
Track_1984,-0.7007647590811021,0
Track_2000,-0.921885481895172,0
Track_2113,-0.039467996087218175,0
Track_2307,-3.0637918972274876,0
Track_2524,-0.7747247334873346,0
Track_2561,-0.5007515952456438,0
Track_2583,0.17285401228944172,0
Track_2647,-0.0900919342298456,0
Track_2667,0.965983884420335,0
Track_2797,0.6232287992530435,0
Track_0,-0.5279538557249381,1
Track_1,0.02958892282478974,1
Track_6,0.17211240945688175,1
Track_7,-0.5694270009675009,1
Track_9,0.2044356642924864,1
Track_11,0.735670105366404,1
Track_14,0.30662437396488185,1
Track_20,-1.0488845343502278,1
Track_22,-0.02271764265191226,1
Track_24,-0.5802643895954068,1
Track_29,-0.8917846384161823,1
Track_33,-1.2031291453329638,1
Track_35,0.014687415337931326,1
Track_41,-0.5775707078312536,1
Track_43,0.24885294163151403,1
Track_49,-0.2802191828699742,1
Track_56,0.3873780556360654,1
Track_64,0.17371022855037888,1
Track_67,-0.17360239606744624,1
Track_73,-0.43222247873592196,1
Track_76,-0.36079860847254636,1
Track_77,-0.2761983922080974,1
Track_81,-0.7720868535804948,1
Track_86,0.5716162064917374,1
Track_92,-0.2533520188703427,1
Track_96,-0.5337196740609239,1
Track_98,1.055912800065177,1
Track_107,-0.004423227541687971,1
Track_109,0.15037496317784899,1
Track_112,-0.06303933633510922,1
Track_119,0.2747942473027081,1
Track_122,0.05410243779310334,1
Track_124,0.5213495218920221,1
Track_145,-0.0730010697507974,1
Track_160,-0.2335232262588511,1
Track_161,0.21194413170122167,1
Track_167,0.37097889942636536,1
Track_190,-0.20482982866763194,1
Track_198,-0.516198697792652,1
Track_272,-0.5600708522182104,1
Track_276,-0.5766567040429572,1
Track_284,-0.8752108501646134,1
Track_299,-0.8737909011993124,1
Track_306,-0.5331927167368518,1
Track_359,0.9719280530596383,1
Track_381,-0.5286660563599999,1
Track_449,0.9781611455326383,1
Track_505,0.11122832632576765,1
Track_528,-0.5666663343324214,1
Track_571,-0.1847258743899889,1
Track_622,-0.9669252615579499,1
Track_646,-1.0644607986679968,1
Track_659,0.146698389443301,1
Track_660,-0.0030823894211388513,1
Track_676,-0.9234449082760683,1
Track_684,0.5840087776906123,1
Track_713,0.41311937124726356,1
Track_722,0.08278520196025672,1
Track_768,-1.0777119634639964,1
Track_772,-0.8498940624052368,1
Track_805,-0.8458706627335474,1
Track_837,0.533071478555775,1
Track_865,0.1560759513798061,1
Track_913,-0.34579556552436325,1
Track_930,-0.5707552581087029,1
Track_1022,1.086397496607723,1
Track_1056,-1.0786518851681648,1
Track_1057,-0.23403058172599964,1
Track_1089,-0.5481373272162856,1
Track_1147,-0.3040785666426764,1
Track_1161,0.07128757810062451,1
Track_1171,0.1386818808334957,1
Track_1184,-1.1726582645614592,1
Track_1201,0.5810865909240717,1
Track_1242,0.9086365397640459,1
Track_1276,0.3924868916342049,1
Track_1286,0.8257675908644663,1
Track_1313,0.5416909048314361,1
Track_1321,-0.23050386190982558,1
Track_1367,-0.9190532827240323,1
Track_1368,0.16601917194191404,1
Track_1400,-0.20134015350074713,1
Track_1440,0.3747937471671874,1
Track_1450,0.6895232961202183,1
Track_1472,1.0203139430298374,1
Track_1476,0.7153394104118448,1
Track_1512,0.08714871208413134,1
Track_1522,0.5138678458034603,1
Track_1592,0.6853463871400515,1
Track_1606,-0.2456590586816153,1
Track_1640,-0.1575848502665667,1
Track_1659,0.04054601874857717,1
Track_1694,0.3770866179570071,1
Track_1695,-0.8298322596660299,1
Track_1702,0.22621982417039269,1
Track_1774,0.33812569436621387,1
Track_1811,0.42197239593035196,1
Track_1812,0.7421604011262842,1
Track_1835,0.9224146028761224,1
Track_1905,-0.5019493565083756,1
Track_1935,0.014492486250763822,1
Track_1943,-1.1350329720593126,1
Track_1947,0.4839080837600486,1
Track_1954,0.9069878845487405,1
Track_1957,0.6485719649496566,1
Track_1963,-1.2432927562825984,1
Track_2003,0.2189041320399278,1
Track_2020,0.75597872319396,1
Track_2049,-0.018233164411589915,1
Track_2090,-0.4940212155383761,1
Track_2099,0.40528305460966846,1
Track_2104,0.484567568720515,1
Track_2117,0.01699590346328569,1
Track_2120,0.3196438228517283,1
Track_2123,1.703325369647257,1
Track_2139,1.1207987175962166,1
Track_2235,0.3040171090434538,1
Track_2243,-0.14673380232602992,1
Track_2255,0.7021185943154801,1
Track_2288,0.6806222466792388,1
Track_2310,0.3980448800257465,1
Track_2313,1.0288472670539577,1
Track_2320,1.19806379983502,1
Track_2337,-0.02692236183826011,1
Track_2338,-0.029351934202391242,1
Track_2340,0.45300278868781985,1
Track_2341,0.010224080699831481,1
Track_2355,0.8370588924148553,1
Track_2418,-0.396996229609702,1
Track_2420,0.44039674603320933,1
Track_2454,-0.7837274387223451,1
Track_2477,0.05209080941019255,1
Track_2499,-0.20205206148770324,1
Track_2541,0.7495326143175782,1
Track_2544,1.025265877008349,1
Track_2617,0.4998302722873045,1
Track_2646,1.2026898413468474,1
Track_2649,-0.8841436936326843,1
Track_2650,-2.610456285089604,1
Track_2682,0.8443049542258935,1
Track_2683,-0.25971732070137515,1
Track_2687,1.1278953775435747,1
Track_2688,0.5340749120546239,1
Track_2743,1.4748166393653162,1
Track_2750,1.1128253185703125,1
Track_2856,-0.2712735311349874,1
Track_2883,-0.4717722767963198,1
Track_3008,1.0500430808424819,1
Track_3066,1.180168216131224,1
Track_3074,0.43897298252619305,1
Track_3118,0.30653991866390495,1
Track_3221,1.7738667215545987,1
Track_3283,0.5138708365037165,1
Track_3318,0.4020392228295143,1
