LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(frame),(frame),(frame),(µm),(µm),(µm),(µm),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(quality),(µm),(µm),,(µm/frame),,(rad/frame)
Track_0,0,0,203,0,0,0,0,0,202.0,0.0,202.0,3.0097871678048858,66.41886214486925,85.13416259373241,0.0,0.2355112446366434,1.147922848979893,0.012537775990873414,0.19625171500944194,0.17337951796884685,0.8303476601398637,47.573271416602005,3.0097871678048858,0.0632663484805995,0.014899936474281613,0.06326634848059955,2.0637001384910536
Track_2,2,2,329,0,0,0,0,0,328.0,0.0,328.0,6.323852288875105,94.20936186949508,59.521002361910604,0.0,0.27227793351348106,1.4227259927398472,0.011041753390749896,0.24221536161148566,0.17236745756311742,0.8437915094717657,89.30716219242181,6.885623900630261,0.07081013586849495,0.019280037466082638,0.07081013586849498,2.0399389011350326
Track_7,7,7,75,0,0,0,0,0,74.0,0.0,74.0,1.2690682982134527,109.8210774698799,50.506090232150335,0.0,0.48379815617042554,1.4693918553650045,0.02168057265315884,0.43230510933621885,0.32018762954402163,0.7728792929649353,35.80106355661149,1.9226459503999211,0.03544778205280692,0.01714957159747909,0.035447782052806916,2.043704656756583
Track_9,9,9,170,0,0,0,0,0,169.0,0.0,169.0,2.1439340827978564,129.88853741894079,92.26376449564398,0.0,0.27216502877854953,0.7322126918894032,0.022944196707414117,0.25008146794845026,0.1449029487600466,0.7885635070941027,45.9958898635749,2.3483037919655554,0.04661142743746941,0.012686000489928144,0.04661142743746944,2.002667336189909
Track_10,10,10,199,0,0,0,0,0,198.0,0.0,198.0,0.9554492784452957,115.32064028910487,78.78519962081307,0.0,0.27793661890866295,0.7606947424662431,0.034500336066499424,0.24994408761385586,0.15797736786823552,0.8081374641638904,55.03145054391526,1.0863104188400048,0.01736187705397379,0.004825501406289372,0.01736187705397379,2.0793234061281254
Track_15,15,15,158,0,0,0,0,0,157.0,0.0,157.0,3.628718858560753,121.13255517450382,61.954818965468576,0.0,0.2647532781175725,0.9125459330751154,0.006685985887142851,0.25039232606711015,0.1469175887386917,0.8422468678106235,41.566264664458856,4.1960682852775575,0.08729961395023982,0.02311285897172454,0.08729961395023977,2.074715577884726
Track_24,24,24,354,0,0,0,0,0,353.0,0.0,353.0,4.399307178008476,97.02501215672892,79.6667307420889,0.0,0.3123540505400629,1.3203721969447642,0.016667239331356984,0.2825421969249935,0.20311810487187415,0.8235758691184265,110.26097984064221,4.756457084916285,0.039899039391511834,0.012462626566596248,0.03989903939151184,2.0793554628172974
