,Label,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TOTAL_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
80,Track_1953,0.6476022010082947,0.7907242236977892,1.5695436816143455,0.5397611608764865,0.8133451023383711,-0.310527790643035,0.5008536794561077,0.8613763247069126,0.500853679456107,-0.29606855137007776
81,Track_1970,-0.0637471310444855,-0.3085442794094493,0.013136275011436143,-0.10335728742298693,-0.17110110100989082,-0.09523175564263735,-0.769904443951997,-0.7519398679537271,-0.7699044439519976,0.991178495520128
82,Track_1995,-0.7409914743689384,-0.539810801706476,-0.804643761351361,-0.7775677937866051,-1.0204716501933981,0.7861391210014791,-0.14494134624664654,-0.34441878459354086,-0.14494134624664723,0.5648351121606398
83,Track_2006,-1.1983287189085847,-0.7100074228277856,-0.8046437613611406,-1.5813229469338976,-0.7600909287328986,0.3603496072464084,1.2064212214322316,0.3980970412959661,1.2064212214322343,0.1515919801947814
84,Track_2019,0.9699432735731833,-0.6569410839162292,2.448984286780374,0.9459985784640966,0.539666750837775,-0.6325679446326752,4.082218294440343,5.655760172200711,4.082218294440341,-2.8246171741609394
85,Track_2038,0.5790667205421951,0.525411064547993,-0.5738170873945269,0.42172040692764134,1.202930820369471,-0.6416171368859176,0.8481658398075304,1.236303248886492,0.8481658398075261,-1.577067042915924
86,Track_2106,-0.0076752335472388585,0.7508278491393359,1.0067078890625545,0.13272395558534333,-0.3567081531864549,-0.4192688135762373,-0.18349331596737348,-0.15518222894546113,-0.1834933159673742,0.4435656948653034
87,Track_2127,-0.6053788343362752,0.7286157268810817,-0.26705377397706975,-0.8130624194876669,-0.17743950419212512,0.8451573253255552,-0.16415833754503836,-0.31819292714226116,-0.1641583375450408,0.21096426733035661
88,Track_2140,-0.6803940622592151,0.03088171050315308,-0.5306352661858538,-1.082132605096518,-0.017014384677286058,0.38142308219522314,0.020382752162779173,-0.19211231932092016,0.02038275216277683,-0.5564177187882907
89,Track_2156,-0.25319582744673774,-0.7185833921982764,-0.804643761329357,-0.04114689890993451,-0.21045027485430803,1.1460473866669196,0.4171392614798666,0.33176633615941176,0.41713926147986585,-0.5117028663676939
90,Track_2208,-0.1313724037702381,-0.0073521062788934775,-0.09087811525132913,-0.17907116126305858,-0.37908639387886606,1.216290385818029,-0.26113289131849476,-0.2674752261630832,-0.2611328913184955,0.35965255611200747
91,Track_2239,-0.8966753211371176,0.07996604445803238,-0.669514314301811,-1.4277686609336968,-0.4259335207812881,0.5310454155632874,0.7520346540901512,0.2741376243324657,0.7520346540901524,-0.10539143883509502
92,Track_2253,0.5188695351259486,-0.7002471560620831,0.10413197629386174,0.34238154122551695,-0.04733365153912159,0.5196716320109452,0.4242798294094107,0.7079766664263658,0.4242798294094084,0.9205759178122778
93,Track_2257,0.3188790423021377,0.6447330110410123,0.5003597672195386,0.21822016135002845,0.3759646326069791,0.9492128620802627,-0.3667812053363124,-0.2592969300803196,-0.36678120533631314,0.6046581360589852
