,Euclidean_distance,DTW_distance
Track_3734,159.05484706059144,133.97959841020264
Track_4337,165.38194744598746,194.25517197895454
Track_1921,685.598001104426,642.022012597962
Track_911,149.51760599731148,156.19350226267872
Track_4003,282.47956023027155,209.92136211289852
Track_3064,229.11368942340795,240.44668154369393
Track_1197,768.3195665223485,208.8938235311215
Track_1970,91.565211147717,92.13733076085946
Track_126,483.67328597901246,640.0564830642983
Track_2632,299.2595906164744,235.87909651554304
Track_2798,103.81355066875543,58.72403290665826
Track_1894,175.7207743389955,160.1315180228038
Track_3627,276.10900994134875,128.22264766462644
Track_49,1499.146192076563,1428.910509406923
Track_2239,624.2817760598867,568.9266927949185
Track_3374,191.82474972421957,136.65187724111644
Track_2299,495.804852189886,548.0284158915478
Track_17,985.373232420402,661.9546903736924
Track_4302,123.50092600095219,173.52899230972707
Track_5157,27.743397300560186,32.78247889090698
Track_2127,592.3593575187873,501.359181967317
Track_3371,470.8791067739213,416.8392892398401
Track_1638,161.7237896241291,130.37524612584605
Track_4100,367.1909197400465,341.6313823243586
Track_470,822.1050186059942,596.1217241314796
Track_4883,65.53950221176413,59.326629425047734
Track_3010,295.61194780587573,135.77680721141306
Track_3904,534.4241826992552,692.7295717548391
Track_3138,294.6837228437505,366.6462828362497
Track_2361,526.7366926533628,525.9077225061922
Track_4476,99.29813946088508,60.32070114317412
Track_25,427.9352746797503,488.8551389190597
Track_3845,479.75296765435013,500.6096000108805
Track_3962,41.8342834117174,54.53238044301263
Track_2414,212.29133874022764,225.81233070651743
Track_105,899.4835658635515,725.2746679101318
Track_193,268.6022498519931,128.7027671033891
Track_2855,102.11243618977954,107.23395368615463
Track_4063,210.71388272090206,176.42371047199342
Track_1737,110.27678269513004,116.62857750268905
Track_1183,827.9400881232604,1242.1172842735682
Track_3988,154.36844505627738,229.49519644310257
Track_2750,128.4236501813336,113.45450930407148
Track_3547,154.36544255814638,126.69080509863183
Track_362,242.75923062648727,257.568206423991
Track_2735,777.7342511645486,659.1472809607674
Track_3261,461.1947584724937,410.1025938057601
Track_2655,50.929766948530144,60.446473734845675
Track_395,119.10452000980744,154.95548733376816
Track_2266,117.74165483229699,105.88561547878712
Track_4493,89.86538736795687,67.14510521230453
Track_3585,293.6862031683672,357.7521978803234
Track_1606,387.7671948529234,399.4694321079277
Track_639,1289.2164060725688,1672.7778450454844
Track_825,201.27645826692796,173.82770808297005
Track_3639,305.63571444589974,110.36609348058629
Track_3782,372.2830821924851,409.80015255562563
Track_2561,383.3279892947581,569.135315740561
Track_2618,1082.516172610089,628.8930854200544
Track_3114,611.1995326067157,636.5093115947908
Track_5178,39.59335712245356,37.952935262666834
Track_2491,838.8308305872732,400.2112284605425
Track_3926,85.94143953932536,116.23724053604394
Track_146,354.8893839718662,349.8419034596667
Track_3111,411.8923996226811,467.24927985799883
