,TRACK_ID,PEARSON_COEF,P_VALUE,PATH_LINEARITY
4,4,-0.047851030145438685,0.5504777779043352,Negligible corelation
15,15,0.856759251019444,2.5156900768005695e-145,High positive linear
20,20,-0.1583106003165109,0.0003801324602882037,Negligible corelation
26,26,-0.8556134351620426,3.75558644180066e-69,High positive non-linear
44,44,-0.18139123004066426,0.0578967440852588,Negligible corelation
48,48,-0.839157350173523,1.5621477400549195e-54,High positive non-linear
67,67,0.45330289414007285,1.8648972935917502e-08,Low positive linear
78,78,-0.6509775689539208,1.3378321629333814e-61,Moderate positive non-linear
108,108,-0.1094274036375721,0.01902414772090931,Negligible corelation
121,121,-0.7991762045738505,3.3586497226126962e-37,High positive non-linear
129,129,-0.5006157822498161,2.6060533992286815e-16,Moderate positive non-linear
142,142,-0.6934819604366693,4.652162450054554e-52,Moderate positive non-linear
166,166,0.9542802645028974,1.8563811398757754e-78,Linear
181,181,0.7030405677942553,4.174798820536038e-27,High positive linear
299,299,-0.9099614991761577,1.9202906678863294e-189,High positive linear
300,300,0.06334756034647838,0.3552929132546757,Negligible corelation
306,306,-0.9194333702836395,9.513866045043608e-201,Negligible corelation
351,351,0.9414057992877034,1.0496762052953463e-107,Linear
425,425,-0.9575208919992404,2.777792582247344e-127,Linear
563,563,-0.042915819470956684,0.550338031954101,Negligible corelation
584,584,-0.5998225643929718,4.174948212457051e-17,Moderate positive non-linear
660,660,0.016503470167632615,0.8111910843306727,Negligible corelation
731,731,-0.7036124309200741,4.537730723884302e-25,High positive non-linear
786,786,-0.2830662265977277,0.0004902494057504309,Negligible corelation
925,925,0.23292430457422114,1.3156078987846714e-06,Negligible corelation
958,958,-0.8522833988251446,2.382680334449768e-103,High positive non-linear
1067,1067,-0.6750201991079211,3.8656542786915285e-50,Moderate positive non-linear
1089,1089,-0.29712046977266265,1.1175208817067948e-09,Negligible corelation
1171,1171,0.6818317429198684,4.1865362384821623e-29,Moderate positive linear
1184,1184,0.5545593083808416,3.134184483470308e-33,Moderate positive linear
1236,1236,0.9196120250416909,1.015394265225528e-158,Linear
1568,1568,-0.5209701775430474,2.940969227429892e-25,Moderate positive non-linear
1674,1674,-0.9512441421018488,4.1735151994255864e-147,Moderate positive non-linear
1680,1680,-0.9141606672880767,4.1950115881816724e-129,Moderate positive non-linear
1838,1838,-0.8856254486633721,6.0687332179758005e-102,High positive non-linear
1914,1914,-0.8453617166621306,1.3950763858179882e-76,High positive non-linear
1984,1984,-0.8570903113899089,9.039337728804876e-82,High positive non-linear
2000,2000,0.4016412149825993,6.816010644775542e-08,Low positive linear
2090,2090,0.5765780783477474,1.058965058883013e-24,Moderate positive linear
2113,2113,0.9345849746099268,8.261821230507689e-118,Linear
2307,2307,0.6360190286173786,2.3154638488195023e-27,Moderate positive linear
2454,2454,0.17513290128162498,0.0112025804582278,Negligible corelation
2524,2524,0.6614863591939895,3.6742499533671405e-26,Moderate positive linear
2561,2561,-0.764783704299494,2.5698492369207074e-38,High positive non-linear
2647,2647,0.63131113139099,1.6189378245582234e-21,Moderate positive linear
2649,2649,0.04795834184950591,0.5214496389275023,Negligible corelation
2667,2667,-0.8619809109540661,4.153649795808832e-54,High positive non-linear
