,TRACK_ID,PEARSON_COEF,P_VALUE,PATH_LINEARITY
7,7,-0.25779818812995703,0.0023549417090353124,Negligible corelation
8,8,0.1875748467819054,0.028761752943748175,Negligible corelation
9,9,-0.40006589706705914,3.478233765128513e-19,Low positive non-linear
12,12,-0.06513148104069766,0.4797140017711707,Negligible corelation
16,16,0.6651925436111571,1.2215250055966109e-25,Moderate positive linear
18,18,0.7157175519263718,1.554991651372064e-21,High positive linear
20,20,0.4740528442580224,1.139397317559114e-13,Low positive linear
24,24,0.6658025836782305,2.4530479894311223e-65,Moderate positive linear
27,27,0.027970241348965537,0.6927379892400343,Negligible corelation
30,30,0.7987029751350021,6.174985421879845e-112,High positive linear
36,36,0.3459286198368827,1.773768032489115e-05,Low positive linear
39,39,0.5817239986023985,1.30175037687776e-46,Moderate positive linear
41,41,-0.37867104897842635,1.5062999488248385e-06,Low positive non-linear
43,43,0.8314202027088702,1.0709979598530922e-63,High positive linear
44,44,0.2362923631107386,0.01032114185360898,Negligible corelation
45,45,0.6609251902172418,6.830934247084346e-16,Moderate positive linear
54,54,-0.12789873224840212,0.053787806574922666,Negligible corelation
57,57,-0.3043714547280286,0.002709850635245484,Low positive non-linear
58,58,-0.18996177900841762,0.0008721685393138803,Negligible corelation
60,60,0.8793940102936004,2.491625884124485e-151,High positive linear
62,62,0.020906870153542326,0.6740990656746493,Negligible corelation
64,64,0.9590032283910995,7.288350009145574e-275,Linear
75,75,-0.47475340430311586,2.1759946744388003e-25,Low positive non-linear
88,88,0.6146456643887427,1.923910950456672e-46,Moderate positive linear
90,90,0.8897934736813151,3.650348744209085e-74,High positive linear
110,110,0.7855132295807279,7.330750446651759e-106,High positive linear
114,114,0.7823415294249925,8.943482057154455e-25,High positive linear
117,117,-0.716545027941303,2.273706470407728e-37,High positive non-linear
118,118,0.412232687675718,2.338719320595008e-09,Low positive linear
127,127,0.02063767755646139,0.8434882948245674,Negligible corelation
128,128,0.8408094844021399,7.809668560478395e-135,High positive linear
154,154,-0.7901132431105014,6.257731125090984e-108,High positive non-linear
181,181,0.7517272594182063,1.0048212191420016e-26,High positive linear
206,206,0.9052119835536443,5.009864816046589e-74,Linear
262,262,-0.9655634416694855,6.331618578044938e-287,Linear
291,291,-0.2316311102152534,0.001921417178553721,Negligible corelation
309,309,0.7346448284425647,4.513039462942141e-83,High positive linear
324,324,0.6458125696594658,2.7228431527062566e-26,Moderate positive linear
326,326,-0.026361806556960146,0.7391413096127976,Negligible corelation
346,346,0.8819912501794522,4.470501107026858e-37,High positive linear
356,356,0.694943644506083,3.707242562897009e-17,Moderate positive linear
497,497,-0.12925339585284848,0.09904172655562872,Negligible corelation
551,551,-0.4263742285032558,2.617287382548254e-11,Low positive non-linear
646,646,0.24281341116028277,0.001166021348787033,Negligible corelation
696,696,0.6922770695591826,5.19587287168595e-24,Moderate positive linear
703,703,0.8625501707496156,8.034257097294303e-128,High positive linear
723,723,0.8204376566174125,1.3861003008041818e-34,High positive linear
728,728,0.6473014101948191,5.0533638685486366e-46,Moderate positive linear
780,780,0.03119819935017626,0.7729252319022784,Negligible corelation
787,787,0.8378492899330471,1.3629168055102735e-42,High positive linear
865,865,0.36314859749385336,0.0002763935493760314,Low positive linear
878,878,-0.06422916703410021,0.47669709149191136,Negligible corelation
919,919,-0.35972177443283043,0.0001221682157956231,Low positive non-linear
961,961,-0.020246932520570204,0.7710659523651875,Negligible corelation
992,992,0.36192760008157077,1.206151774395784e-07,Low positive linear
994,994,0.7526169216145473,1.947710886849602e-24,High positive linear
1003,1003,0.8631769779173025,5.380960801376739e-119,High positive linear
1066,1066,0.42673713808107355,4.116937874870453e-06,Low positive linear
1083,1083,-0.3245589552786945,4.5756967160199496e-07,Low positive non-linear
1138,1138,0.9060814462269611,8.868870990427895e-54,Linear
1157,1157,0.48242991026296994,1.425302817856689e-07,Low positive linear
1177,1177,-0.024984649680959235,0.7795236714520125,Negligible corelation
1215,1215,-0.3239774167865531,0.0001600796066060437,Low positive non-linear
1275,1275,-0.2586341398784566,0.0012466044629710047,Negligible corelation
1290,1290,0.12918353294462692,0.013133098216238039,Negligible corelation
1366,1366,0.26066366647748923,4.258930706016014e-06,Negligible corelation
1498,1498,0.9471023257012516,1.4893514326400742e-155,Linear
1516,1516,0.9275552451103868,7.808168239433782e-148,Linear
1521,1521,-0.04484711480799389,0.5522319727020123,Negligible corelation
1532,1532,-0.423130823740109,2.744941539454259e-16,Low positive non-linear
1565,1565,0.18772344062310958,0.006756004266240605,Negligible corelation
1577,1577,0.016323753810393332,0.7656084191485776,Negligible corelation
1699,1699,0.14779774331186962,0.00819508036165293,Negligible corelation
1731,1731,0.8887879594234565,2.1265965666534026e-89,High positive linear
1744,1744,0.41624891426226457,1.2277280201006262e-08,Low positive linear
1793,1793,0.6178416271241767,1.2509419520579925e-16,Moderate positive linear
1901,1901,-0.6151840972482712,1.413870374055066e-10,Moderate positive non-linear
1921,1921,0.38275044387224216,6.933570799730846e-07,Low positive linear
1936,1936,0.33969853022559415,1.9794822524516207e-05,Low positive linear
1989,1989,0.6691958493614578,3.034200656013911e-38,Moderate positive linear
1997,1997,-0.576848019909725,1.6800696760232844e-26,Moderate positive non-linear
2001,2001,0.5049783025357879,2.1491428042754664e-08,Moderate positive linear
2005,2005,0.7380569340852501,7.916884642486032e-25,High positive linear
2107,2107,-0.11774385184740377,0.053747701069580614,Negligible corelation
2156,2156,0.6264183914157957,1.898950743620473e-12,Moderate positive linear
2165,2165,0.5459843211257156,2.4492505942127146e-09,Moderate positive linear
2169,2169,-0.2024761672992026,0.00095915692774435,Negligible corelation
2235,2235,0.7550144414405819,4.291824362410331e-48,High positive linear
2311,2311,-0.06400823268579271,0.5185828006538402,Negligible corelation
2358,2358,0.3114884048054969,0.0001525866652063752,Low positive linear
2380,2380,0.4856639588149678,1.50920355066709e-07,Low positive linear
2443,2443,0.12843553289916848,0.04972763457420594,Negligible corelation
2499,2499,0.5855950606495686,1.7268397621405412e-12,Moderate positive linear
2542,2542,0.597498206272246,9.873407955062347e-18,Moderate positive linear
2553,2553,0.2171264302129399,0.037617324356721896,Negligible corelation
2580,2580,0.32059456405977227,1.4120512844025822e-06,Low positive linear
2595,2595,0.44575184003311097,1.0890480951644214e-08,Low positive linear
2611,2611,-0.5935036419942576,9.345683986419983e-22,Moderate positive non-linear
2695,2695,-0.37100248642667555,7.726206017156762e-05,Low positive non-linear
2708,2708,0.8464610572894375,5.486619613912273e-33,High positive linear
2897,2897,0.5971617937127036,5.709062842181393e-19,Moderate positive linear
3040,3040,0.25426492912869475,0.005462078833288996,Negligible corelation
3097,3097,-0.3966581332122914,2.704408977500509e-07,Low positive non-linear
3120,3120,0.31862033147409197,0.0007774374568988463,Low positive linear
3126,3126,0.1766539359675981,0.028934486058380043,Negligible corelation
3175,3175,-0.45936550954547606,4.845504468307238e-09,Low positive non-linear
3184,3184,0.2499485946105316,0.005493649435338611,Negligible corelation
3207,3207,-0.4258236381999415,1.0327455365541776e-07,Low positive non-linear
3233,3233,-0.12281965196056231,0.14826916286155728,Negligible corelation
3235,3235,-0.20570757490301397,0.014051370227820738,Negligible corelation
3237,3237,0.197628911469472,0.018821823493413686,Negligible corelation
3337,3337,-0.14550476874139773,0.12411336826101523,Negligible corelation
3416,3416,-0.4637787010846378,8.442226785594269e-08,Low positive non-linear
3430,3430,-0.6433409331068086,4.015575795426755e-13,Moderate positive non-linear
3477,3477,-0.202521436164753,0.03069902318139935,Negligible corelation
3712,3712,0.7246798601223692,6.793639390384322e-16,High positive linear
